,Action Betw,resource,satisfied demand,mean rem demand,actual rem demand,collected debris,satisfied demand,period,exponential period,degree
"(0, 0)",15.0,0.5,0.0,6,6.0,0.0,0.0,1.0,0.818730753078,0.75
"(0, 1)",10.0,1.5,5.0,3,3.0,0.0,0.0,2.0,0.670320046036,1.0
"(0, 5)",10.0,3.0,4.0,3,3.0,0.0,0.0,3.0,0.548811636094,1.0
"(0, 6)",22.5,1.0,3.0,3,3.0,0.0,0.0,1.0,0.818730753078,0.75
"(1, 1)",5.0,1.5,4.0,3,3.0,0.5,0.0,2.0,0.670320046036,1.0
"(1, 2)",5.0,4.0,1.0,3,3.0,0.5,0.0,5.0,0.367879441171,1.0
"(1, 3)",57.5,0.5,5.0,3,3.0,0.5,0.0,1.0,0.818730753078,0.75
"(1, 5)",5.0,3.0,3.0,3,3.0,0.5,0.0,4.0,0.449328964117,1.0
"(1, 6)",57.5,1.0,4.0,3,3.0,0.5,0.0,2.0,0.670320046036,0.75
"(2, 1)",0.0,1.5,0.0,3,3.0,4.5,1.0,6.0,0.301194211912,0.0
"(2, 3)",39.0,0.5,3.0,0,0.0,4.5,1.0,5.0,0.367879441171,0.75
"(2, 4)",39.0,1.0,4.0,0,0.0,4.5,1.0,6.0,0.301194211912,0.75
"(2, 5)",0.0,3.0,0.0,3,3.0,4.5,1.0,8.0,0.201896517995,0.0
"(2, 6)",39.0,1.0,3.0,0,0.0,4.5,1.0,6.0,0.301194211912,0.75
"(4, 1)",0.0,1.5,0.0,3,3.0,7.5,1.0,9.0,0.165298888222,0.0
"(4, 3)",54.0,0.5,5.0,0,0.0,7.5,1.0,8.0,0.201896517995,0.75
"(4, 4)",54.0,1.0,3.0,0,0.0,7.5,1.0,9.0,0.165298888222,0.75
"(4, 6)",54.0,1.0,4.0,0,0.0,7.5,1.0,9.0,0.165298888222,0.75
"(6, 0)",0.0,0.5,0.0,3,3.0,1.5,5.0,2.0,0.670320046036,0.75
"(6, 2)",0.0,4.0,0.0,3,3.0,1.5,5.0,6.0,0.301194211912,0.75
"(6, 4)",15.0,1.0,0.0,3,1.0,1.5,5.0,3.0,0.548811636094,0.75
"(6, 5)",0.0,3.0,0.0,3,3.0,1.5,5.0,5.0,0.367879441171,0.0
"(6, 6)",15.0,1.0,4.0,0,0.0,1.5,5.0,3.0,0.548811636094,0.75
"(7, 2)",0.0,4.0,0.0,3,3.0,2.0,5.0,6.0,0.301194211912,0.0
"(7, 3)",15.0,0.5,0.0,3,2.0,2.0,5.0,3.0,0.548811636094,0.75
"(7, 4)",15.0,1.0,0.0,3,1.0,2.0,5.0,3.0,0.548811636094,0.75
"(7, 5)",0.0,3.0,0.0,3,3.0,2.0,5.0,5.0,0.367879441171,0.0
"(7, 6)",15.0,1.0,3.0,0,0.0,2.0,5.0,3.0,0.548811636094,0.75
"(8, 2)",20.0,4.0,0.0,3,2.0,2.5,5.0,7.0,0.246596963942,0.0
"(8, 4)",20.0,1.0,0.0,3,2.0,2.5,5.0,4.0,0.449328964117,0.0
"(8, 5)",10.0,3.0,2.0,0,0.0,2.5,5.0,6.0,0.301194211912,0.0
"(8, 6)",10.0,1.0,2.0,0,0.0,2.5,5.0,4.0,0.449328964117,0.0
"(10, 1)",0.0,1.5,0.0,3,3.0,3.5,3.0,5.0,0.367879441171,0.0
"(10, 2)",0.0,4.0,0.0,3,3.0,3.5,3.0,8.0,0.201896517995,0.0
"(10, 3)",36.0,0.5,4.0,0,0.0,3.5,3.0,4.0,0.449328964117,0.75
"(10, 4)",36.0,1.0,2.0,3,1.0,3.5,3.0,5.0,0.367879441171,0.75
"(10, 6)",36.0,1.0,2.0,0,0.0,3.5,3.0,5.0,0.367879441171,0.75
"(12, 1)",7.5,1.5,0.0,3,1.0,1.0,5.0,3.0,0.548811636094,1.0
"(12, 2)",7.5,4.0,0.0,3,3.0,1.0,5.0,5.0,0.367879441171,1.0
"(12, 4)",7.5,1.0,0.0,3,3.0,1.0,5.0,2.0,0.670320046036,1.0
"(12, 5)",0.0,3.0,1.0,0,0.0,1.0,5.0,4.0,0.449328964117,1.0
"(12, 6)",7.5,1.0,0.0,3,3.0,1.0,5.0,2.0,0.670320046036,0.0
"(13, 1)",15.0,1.5,2.0,0,0.0,2.0,5.0,4.0,0.449328964117,1.0
"(13, 2)",15.0,4.0,4.0,0,0.0,2.0,5.0,6.0,0.301194211912,1.0
"(13, 4)",15.0,1.0,4.0,0,0.0,2.0,5.0,3.0,0.548811636094,1.0
"(13, 5)",15.0,3.0,1.0,0,0.0,2.0,5.0,5.0,0.367879441171,1.0
"(16, 3)",54.0,0.5,2.0,0,0.0,9.0,1.0,10.0,0.135335283237,0.75
"(16, 4)",54.0,1.0,2.0,0,0.0,9.0,1.0,10.0,0.135335283237,0.75
"(16, 6)",54.0,1.0,4.0,0,0.0,9.0,1.0,10.0,0.135335283237,0.75
"(21, 0)",5.0,0.5,0.0,3,1.0,2.5,5.0,3.0,0.548811636094,0.75
"(21, 2)",10.0,4.0,0.0,3,1.0,3.5,5.0,8.0,0.201896517995,0.0
"(21, 3)",5.0,0.5,0.0,3,1.0,2.5,5.0,3.0,0.548811636094,0.75
"(21, 5)",5.0,3.0,1.0,0,0.0,3.5,5.0,7.0,0.246596963942,0.0
"(21, 6)",5.0,1.0,1.0,0,0.0,2.5,5.0,4.0,0.449328964117,0.0
"(24, 3)",39.0,0.5,4.0,0,0.0,6.0,1.0,7.0,0.246596963942,0.75
"(24, 4)",39.0,1.0,1.0,0,0.0,6.0,1.0,7.0,0.246596963942,0.75
"(24, 5)",0.0,3.0,0.0,3,3.0,6.0,1.0,9.0,0.165298888222,0.0
"(24, 6)",39.0,1.0,5.0,0,0.0,6.0,1.0,7.0,0.246596963942,0.75
"(26, 1)",0.0,1.5,0.0,3,3.0,4.5,2.0,6.0,0.301194211912,0.0
"(26, 3)",33.0,0.5,3.0,3,2.0,4.5,2.0,5.0,0.367879441171,0.75
"(26, 4)",33.0,1.0,3.0,3,1.0,4.5,2.0,6.0,0.301194211912,0.75
"(26, 5)",0.0,3.0,0.0,3,3.0,4.5,2.0,8.0,0.201896517995,0.0
"(26, 6)",33.0,1.0,2.0,0,0.0,4.5,2.0,6.0,0.301194211912,0.75
"(27, 1)",0.0,1.5,0.0,3,3.0,7.5,2.0,9.0,0.165298888222,0.0
"(27, 3)",48.0,0.5,3.0,0,0.0,7.5,2.0,8.0,0.201896517995,0.75
"(27, 4)",48.0,1.0,2.0,0,0.0,7.5,2.0,9.0,0.165298888222,0.75
"(27, 6)",48.0,1.0,3.0,0,0.0,7.5,2.0,9.0,0.165298888222,0.75
"(29, 0)",10.0,0.5,0.0,3,2.0,2.5,5.0,3.0,0.548811636094,0.75
"(29, 2)",20.0,4.0,0.0,3,2.0,3.5,5.0,8.0,0.201896517995,0.0
"(29, 3)",10.0,0.5,0.0,3,2.0,2.5,5.0,3.0,0.548811636094,0.75
"(29, 5)",10.0,3.0,2.0,0,0.0,3.5,5.0,7.0,0.246596963942,0.0
"(29, 6)",10.0,1.0,2.0,0,0.0,3.5,5.0,5.0,0.367879441171,0.0
"(35, 3)",48.0,0.5,3.0,0,0.0,9.0,2.0,10.0,0.135335283237,0.75
"(35, 4)",48.0,1.0,4.0,0,0.0,9.0,2.0,10.0,0.135335283237,0.75
"(35, 6)",48.0,1.0,4.0,0,0.0,9.0,2.0,10.0,0.135335283237,0.75
"(37, 2)",10.0,4.0,0.0,3,1.0,2.5,5.0,7.0,0.246596963942,0.0
"(37, 4)",10.0,1.0,0.0,3,1.0,2.5,5.0,4.0,0.449328964117,0.0
"(37, 5)",5.0,3.0,1.0,0,0.0,2.5,5.0,6.0,0.301194211912,0.0
"(37, 6)",5.0,1.0,1.0,0,0.0,2.5,5.0,4.0,0.449328964117,0.0
"(38, 4)",10.0,1.0,0.0,3,1.0,6.5,5.0,8.0,0.201896517995,0.0
"(38, 5)",5.0,3.0,1.0,0,0.0,6.5,5.0,10.0,0.135335283237,0.0
"(38, 6)",5.0,1.0,1.0,0,0.0,6.5,5.0,8.0,0.201896517995,0.0
"(41, 0)",10.0,0.5,0.0,3,1.0,6.5,5.0,7.0,0.246596963942,0.0
"(41, 3)",10.0,0.5,0.0,3,1.0,6.5,5.0,7.0,0.246596963942,0.0
"(41, 5)",5.0,3.0,1.0,0,0.0,7.5,5.0,11.0,0.110803158362,0.0
"(41, 6)",5.0,1.0,1.0,0,0.0,7.5,5.0,9.0,0.165298888222,0.0
"(45, 0)",10.0,0.5,1.0,0,0.0,4.5,5.0,5.0,0.367879441171,0.0
"(45, 1)",10.0,1.5,1.0,0,0.0,4.5,5.0,6.0,0.301194211912,0.0
"(45, 2)",10.0,4.0,1.0,0,0.0,4.5,5.0,9.0,0.165298888222,0.0
"(45, 3)",10.0,0.5,1.0,0,0.0,4.5,5.0,5.0,0.367879441171,0.0
"(45, 6)",20.0,1.0,0.0,3,1.0,4.5,5.0,6.0,0.301194211912,0.0
"(47, 1)",0.0,1.5,0.0,3,3.0,4.5,3.0,6.0,0.301194211912,0.0
"(47, 3)",27.0,0.5,2.0,3,2.0,4.5,3.0,5.0,0.367879441171,0.75
"(47, 4)",27.0,1.0,2.0,3,2.0,4.5,3.0,6.0,0.301194211912,0.75
"(47, 5)",0.0,3.0,0.0,3,3.0,4.5,3.0,8.0,0.201896517995,0.0
"(47, 6)",27.0,1.0,3.0,0,0.0,4.5,3.0,6.0,0.301194211912,0.75
"(50, 2)",0.0,4.0,0.0,3,3.0,5.0,5.0,9.0,0.165298888222,0.0
"(50, 3)",30.0,0.5,2.0,0,0.0,5.0,5.0,6.0,0.301194211912,0.75
"(50, 4)",30.0,1.0,3.0,0,0.0,5.0,5.0,6.0,0.301194211912,0.75
"(50, 6)",30.0,1.0,2.0,0,0.0,5.0,5.0,6.0,0.301194211912,0.75
"(51, 3)",30.0,0.5,5.0,0,0.0,9.0,5.0,10.0,0.135335283237,0.75
"(51, 4)",30.0,1.0,3.0,0,0.0,9.0,5.0,10.0,0.135335283237,0.75
"(51, 6)",30.0,1.0,3.0,0,0.0,9.0,5.0,10.0,0.135335283237,0.75
"(54, 1)",20.0,1.5,0.0,3,2.0,5.0,5.0,7.0,0.246596963942,0.0
"(54, 4)",20.0,1.0,0.0,3,2.0,5.0,5.0,6.0,0.301194211912,0.0
"(54, 5)",10.0,3.0,2.0,0,0.0,5.0,5.0,8.0,0.201896517995,0.0
"(54, 6)",10.0,1.0,2.0,0,0.0,5.0,5.0,6.0,0.301194211912,0.0
"(57, 1)",10.0,1.5,0.0,3,1.0,5.0,5.0,7.0,0.246596963942,0.0
"(57, 4)",10.0,1.0,0.0,3,1.0,5.0,5.0,6.0,0.301194211912,0.0
"(57, 5)",5.0,3.0,1.0,0,0.0,5.0,5.0,8.0,0.201896517995,0.0
"(57, 6)",5.0,1.0,1.0,0,0.0,5.0,5.0,6.0,0.301194211912,0.0
"(59, 0)",20.0,0.5,0.0,3,2.0,6.5,5.0,7.0,0.246596963942,0.0
"(59, 3)",20.0,0.5,0.0,3,2.0,6.5,5.0,7.0,0.246596963942,0.0
"(59, 5)",10.0,3.0,2.0,0,0.0,7.5,5.0,11.0,0.110803158362,0.0
"(59, 6)",10.0,1.0,2.0,0,0.0,7.5,5.0,9.0,0.165298888222,0.0
"(62, 0)",0.0,0.5,0.0,3,3.0,1.0,3.0,2.0,0.670320046036,0.75
"(62, 1)",16.0,1.5,5.0,0,0.0,1.0,3.0,3.0,0.548811636094,1.0
"(62, 3)",0.0,0.5,0.0,3,3.0,1.0,3.0,2.0,0.670320046036,0.75
"(62, 4)",16.0,1.0,2.0,3,1.0,1.0,3.0,2.0,0.670320046036,1.0
"(62, 5)",16.0,3.0,2.0,0,0.0,1.0,3.0,4.0,0.449328964117,1.0
"(65, 0)",5.0,0.5,0.0,3,3.0,1.5,4.0,2.0,0.670320046036,0.0
"(65, 1)",8.0,1.5,1.0,0,0.0,1.5,4.0,3.0,0.548811636094,1.0
"(65, 2)",8.0,4.0,3.0,0,0.0,1.5,4.0,6.0,0.301194211912,1.0
"(65, 3)",5.0,0.5,0.0,3,3.0,1.5,4.0,2.0,0.670320046036,0.0
"(65, 4)",13.0,1.0,1.0,3,1.0,1.5,4.0,3.0,0.548811636094,1.0
"(65, 5)",13.0,3.0,1.0,3,1.0,1.5,4.0,5.0,0.367879441171,1.0
"(66, 0)",10.0,0.5,1.0,0,0.0,4.5,5.0,5.0,0.367879441171,0.0
"(66, 1)",10.0,1.5,1.0,0,0.0,4.5,5.0,6.0,0.301194211912,0.0
"(66, 2)",10.0,4.0,1.0,0,0.0,4.5,5.0,9.0,0.165298888222,0.0
"(66, 3)",10.0,0.5,1.0,0,0.0,4.5,5.0,5.0,0.367879441171,0.0
"(66, 4)",20.0,1.0,0.0,3,1.0,4.5,5.0,6.0,0.301194211912,0.0
"(71, 1)",20.0,1.5,0.0,3,2.0,6.0,5.0,8.0,0.201896517995,0.0
"(71, 5)",10.0,3.0,2.0,0,0.0,6.0,5.0,9.0,0.165298888222,0.0
"(71, 6)",10.0,1.0,2.0,0,0.0,6.0,5.0,7.0,0.246596963942,0.0
"(73, 1)",0.0,1.5,0.0,3,3.0,7.5,3.0,9.0,0.165298888222,0.0
"(73, 3)",42.0,0.5,3.0,0,0.0,7.5,3.0,8.0,0.201896517995,0.75
"(73, 4)",42.0,1.0,1.0,0,0.0,7.5,3.0,9.0,0.165298888222,0.75
"(73, 6)",42.0,1.0,4.0,0,0.0,7.5,3.0,9.0,0.165298888222,0.75
"(74, 3)",42.0,0.5,3.0,0,0.0,9.0,3.0,10.0,0.135335283237,0.75
"(74, 4)",42.0,1.0,3.0,0,0.0,9.0,3.0,10.0,0.135335283237,0.75
"(74, 6)",42.0,1.0,3.0,0,0.0,9.0,3.0,10.0,0.135335283237,0.75
"(77, 0)",20.0,0.5,2.0,0,0.0,4.5,5.0,5.0,0.367879441171,0.0
"(77, 1)",20.0,1.5,2.0,0,0.0,4.5,5.0,6.0,0.301194211912,0.0
"(77, 2)",20.0,4.0,2.0,0,0.0,4.5,5.0,9.0,0.165298888222,0.0
"(77, 3)",20.0,0.5,2.0,0,0.0,4.5,5.0,5.0,0.367879441171,0.0
"(77, 6)",40.0,1.0,0.0,3,2.0,4.5,5.0,6.0,0.301194211912,0.0
"(79, 4)",20.0,1.0,0.0,3,2.0,6.5,5.0,8.0,0.201896517995,0.0
"(79, 5)",10.0,3.0,2.0,0,0.0,6.5,5.0,10.0,0.135335283237,0.0
"(79, 6)",10.0,1.0,2.0,0,0.0,6.5,5.0,8.0,0.201896517995,0.0
"(81, 2)",10.0,4.0,0.0,3,1.0,2.5,5.0,7.0,0.246596963942,0.0
"(81, 4)",10.0,1.0,0.0,3,1.0,2.5,5.0,4.0,0.449328964117,0.0
"(81, 5)",5.0,3.0,1.0,0,0.0,2.5,5.0,6.0,0.301194211912,0.0
"(81, 6)",5.0,1.0,1.0,0,0.0,2.5,5.0,4.0,0.449328964117,0.0
"(82, 2)",10.0,4.0,0.0,3,1.0,3.5,5.0,8.0,0.201896517995,0.0
"(82, 5)",5.0,3.0,1.0,0,0.0,3.5,5.0,7.0,0.246596963942,0.0
"(82, 6)",5.0,1.0,1.0,0,0.0,3.5,5.0,5.0,0.367879441171,0.0
"(87, 5)",5.0,3.0,1.0,0,0.0,7.5,5.0,11.0,0.110803158362,0.0
"(87, 6)",5.0,1.0,1.0,0,0.0,7.5,5.0,9.0,0.165298888222,0.0
"(88, 0)",5.0,0.5,0.0,3,3.0,1.5,3.0,2.0,0.670320046036,0.0
"(88, 1)",11.0,1.5,1.0,0,0.0,1.5,3.0,3.0,0.548811636094,1.0
"(88, 2)",11.0,4.0,5.0,0,0.0,1.5,3.0,6.0,0.301194211912,1.0
"(88, 3)",5.0,0.5,0.0,3,3.0,1.5,3.0,2.0,0.670320046036,0.0
"(88, 4)",16.0,1.0,2.0,0,0.0,1.5,3.0,3.0,0.548811636094,1.0
"(88, 5)",16.0,3.0,2.0,3,1.0,1.5,3.0,5.0,0.367879441171,1.0
"(95, 0)",10.0,0.5,1.0,0,0.0,5.5,5.0,6.0,0.301194211912,0.0
"(95, 1)",10.0,1.5,1.0,0,0.0,5.5,5.0,7.0,0.246596963942,0.0
"(95, 2)",10.0,4.0,1.0,0,0.0,5.5,5.0,10.0,0.135335283237,0.0
"(95, 3)",10.0,0.5,1.0,0,0.0,5.5,5.0,6.0,0.301194211912,0.0
"(100, 1)",10.0,1.5,0.0,3,1.0,6.0,5.0,8.0,0.201896517995,0.0
"(100, 5)",5.0,3.0,1.0,0,0.0,6.0,5.0,9.0,0.165298888222,0.0
"(100, 6)",5.0,1.0,1.0,0,0.0,6.0,5.0,7.0,0.246596963942,0.0
"(102, 0)",10.0,0.5,1.0,0,0.0,2.5,5.0,3.0,0.548811636094,0.0
"(102, 1)",10.0,1.5,1.0,0,0.0,2.5,5.0,4.0,0.449328964117,0.0
"(102, 2)",10.0,4.0,1.0,0,0.0,2.5,5.0,7.0,0.246596963942,0.0
"(102, 3)",10.0,0.5,1.0,0,0.0,2.5,5.0,3.0,0.548811636094,0.0
"(102, 5)",20.0,3.0,0.0,3,1.0,2.5,5.0,6.0,0.301194211912,0.0
"(103, 0)",10.0,0.5,1.0,0,0.0,5.5,5.0,6.0,0.301194211912,0.0
"(103, 1)",10.0,1.5,1.0,0,0.0,5.5,5.0,7.0,0.246596963942,0.0
"(103, 2)",10.0,4.0,1.0,0,0.0,5.5,5.0,10.0,0.135335283237,0.0
"(103, 3)",10.0,0.5,1.0,0,0.0,5.5,5.0,6.0,0.301194211912,0.0
"(105, 0)",0.0,0.5,0.0,3,3.0,1.0,4.0,2.0,0.670320046036,0.75
"(105, 1)",13.0,1.5,5.0,0,0.0,1.0,4.0,3.0,0.548811636094,1.0
"(105, 3)",0.0,0.5,0.0,3,3.0,1.0,4.0,2.0,0.670320046036,0.75
"(105, 4)",13.0,1.0,1.0,3,2.0,1.0,4.0,2.0,0.670320046036,1.0
"(105, 5)",13.0,3.0,1.0,3,2.0,1.0,4.0,4.0,0.449328964117,1.0
"(106, 0)",30.0,0.5,0.0,3,3.0,6.0,5.0,7.0,0.246596963942,0.0
"(106, 3)",15.0,0.5,0.0,3,4.0,6.0,5.0,7.0,0.246596963942,0.75
"(106, 4)",15.0,1.0,0.0,3,2.0,6.0,5.0,7.0,0.246596963942,0.75
"(106, 5)",0.0,3.0,0.0,3,3.0,6.0,5.0,9.0,0.165298888222,0.0
"(106, 6)",15.0,1.0,1.0,0,0.0,6.0,5.0,7.0,0.246596963942,0.75
"(108, 0)",5.0,0.5,0.0,3,1.0,2.0,5.0,3.0,0.548811636094,0.75
"(108, 1)",0.0,1.5,1.0,0,0.0,2.0,5.0,4.0,0.449328964117,0.0
"(108, 2)",5.0,4.0,0.0,3,1.0,2.0,5.0,6.0,0.301194211912,0.75
"(108, 3)",5.0,0.5,0.0,3,1.0,2.0,5.0,3.0,0.548811636094,0.75
"(108, 5)",0.0,3.0,0.0,3,1.0,2.0,5.0,5.0,0.367879441171,0.0
"(113, 0)",10.0,0.5,0.0,3,2.0,2.0,5.0,3.0,0.548811636094,0.75
"(113, 1)",0.0,1.5,2.0,0,0.0,2.0,5.0,4.0,0.449328964117,0.0
"(113, 2)",10.0,4.0,0.0,3,2.0,2.0,5.0,6.0,0.301194211912,0.75
"(113, 3)",10.0,0.5,0.0,3,2.0,2.0,5.0,3.0,0.548811636094,0.75
"(113, 5)",0.0,3.0,0.0,3,2.0,2.0,5.0,5.0,0.367879441171,0.0
"(117, 0)",10.0,0.5,0.0,3,2.0,4.0,5.0,5.0,0.367879441171,0.75
"(117, 1)",0.0,1.5,2.0,0,0.0,4.0,5.0,6.0,0.301194211912,0.0
"(117, 2)",10.0,4.0,0.0,3,2.0,4.0,5.0,8.0,0.201896517995,0.75
"(117, 3)",10.0,0.5,0.0,3,2.0,4.0,5.0,5.0,0.367879441171,0.75
"(117, 4)",0.0,1.0,0.0,3,2.0,4.0,5.0,5.0,0.367879441171,0.0
"(118, 0)",10.0,0.5,0.0,3,2.0,5.0,5.0,6.0,0.301194211912,0.75
"(118, 1)",0.0,1.5,2.0,0,0.0,5.0,5.0,7.0,0.246596963942,0.0
"(118, 2)",10.0,4.0,0.0,3,2.0,5.0,5.0,9.0,0.165298888222,0.75
"(118, 3)",10.0,0.5,0.0,3,2.0,5.0,5.0,6.0,0.301194211912,0.75
"(119, 0)",20.0,0.5,2.0,0,0.0,5.5,5.0,6.0,0.301194211912,0.0
"(119, 1)",20.0,1.5,2.0,0,0.0,5.5,5.0,7.0,0.246596963942,0.0
"(119, 2)",40.0,4.0,0.0,3,2.0,5.5,5.0,10.0,0.135335283237,0.0
"(119, 3)",20.0,0.5,2.0,0,0.0,5.5,5.0,6.0,0.301194211912,0.0
"(120, 0)",20.0,0.5,2.0,0,0.0,9.5,5.0,10.0,0.135335283237,0.0
"(120, 1)",20.0,1.5,2.0,0,0.0,9.5,5.0,11.0,0.110803158362,0.0
"(124, 0)",20.0,0.5,2.0,0,0.0,4.5,5.0,5.0,0.367879441171,0.0
"(124, 1)",20.0,1.5,2.0,0,0.0,4.5,5.0,6.0,0.301194211912,0.0
"(124, 2)",40.0,4.0,0.0,3,2.0,4.5,5.0,9.0,0.165298888222,0.0
"(124, 3)",20.0,0.5,2.0,0,0.0,4.5,5.0,5.0,0.367879441171,0.0
"(124, 4)",40.0,1.0,0.0,3,2.0,4.5,5.0,6.0,0.301194211912,0.0
"(126, 0)",10.0,0.5,0.0,3,1.0,3.0,5.0,4.0,0.449328964117,0.0
"(126, 2)",10.0,4.0,0.0,3,1.0,3.0,5.0,7.0,0.246596963942,0.0
"(126, 3)",10.0,0.5,0.0,3,1.0,3.0,5.0,4.0,0.449328964117,0.0
"(126, 5)",5.0,3.0,1.0,0,0.0,3.0,5.0,6.0,0.301194211912,0.0
"(126, 6)",5.0,1.0,1.0,0,0.0,3.0,5.0,4.0,0.449328964117,0.0
"(135, 0)",25.0,0.5,0.0,3,5.0,2.5,5.0,3.0,0.548811636094,0.75
"(135, 2)",25.0,4.0,0.0,3,5.0,2.5,5.0,7.0,0.246596963942,0.75
"(135, 3)",25.0,0.5,0.0,3,5.0,2.5,5.0,3.0,0.548811636094,0.75
"(135, 5)",25.0,3.0,5.0,0,0.0,2.5,5.0,6.0,0.301194211912,0.0
"(135, 6)",25.0,1.0,5.0,0,0.0,2.5,5.0,4.0,0.449328964117,0.0
"(138, 1)",0.0,1.5,0.0,3,3.0,4.5,5.0,6.0,0.301194211912,0.0
"(138, 3)",15.0,0.5,0.0,3,5.0,4.5,5.0,5.0,0.367879441171,0.75
"(138, 4)",15.0,1.0,0.0,3,3.0,4.5,5.0,6.0,0.301194211912,0.75
"(138, 5)",0.0,3.0,0.0,3,3.0,4.5,5.0,8.0,0.201896517995,0.0
"(138, 6)",15.0,1.0,4.0,0,0.0,4.5,5.0,6.0,0.301194211912,0.75
"(139, 1)",30.0,1.5,0.0,3,3.0,5.5,5.0,7.0,0.246596963942,0.0
"(139, 3)",30.0,0.5,0.0,3,3.0,5.5,5.0,6.0,0.301194211912,0.0
"(139, 5)",15.0,3.0,3.0,0,0.0,5.5,5.0,9.0,0.165298888222,0.0
"(139, 6)",15.0,1.0,3.0,0,0.0,5.5,5.0,7.0,0.246596963942,0.0
"(141, 0)",20.0,0.5,0.0,3,4.0,2.5,5.0,3.0,0.548811636094,0.75
"(141, 2)",40.0,4.0,0.0,3,4.0,3.5,5.0,8.0,0.201896517995,0.0
"(141, 3)",20.0,0.5,0.0,3,4.0,2.5,5.0,3.0,0.548811636094,0.75
